"model" "year" "price" "transmission" "mileage" "fuelType" "tax" "mpg" "engineSize"
"166" " Fiesta" 2019 13998 "Manual" 9957 "Petrol" 145 58.9 1
"167" " Focus" 2019 16698 "Manual" 4542 "Petrol" 145 60.1 1
"172" " EcoSport" 2018 14998 "Manual" 7133 "Diesel" 145 58.9 1.5
"175" " Focus" 2019 15495 "Manual" 5600 "Petrol" 145 60.1 1
"185" " Fiesta" 2019 18998 "Manual" 3292 "Petrol" 145 40.3 1.5
"190" " Fiesta" 2019 13995 "Manual" 11130 "Petrol" 145 58.9 1
"192" " Focus" 2018 13998 "Manual" 13401 "Petrol" 145 60.1 1
"193" " Fiesta" 2019 12798 "Manual" 10567 "Petrol" 145 58.9 1
"194" " Fiesta" 2019 14698 "Manual" 7872 "Petrol" 145 58.9 1
"196" " EcoSport" 2018 12498 "Manual" 10222 "Petrol" 145 54.3 1
"200" " Ka+" 2018 8195 "Manual" 12231 "Petrol" 145 47.9 1.2
"201" " Kuga" 2019 21498 "Automatic" 5354 "Petrol" 150 31 1.5
"203" " EcoSport" 2018 14498 "Manual" 11922 "Petrol" 145 54.3 1
"206" " Focus" 2018 10998 "Manual" 26648 "Petrol" 145 61.4 1
"215" " EcoSport" 2018 12898 "Manual" 15267 "Petrol" 145 53.3 1
"217" " C-MAX" 2018 12198 "Manual" 7993 "Petrol" 145 49.6 1
"221" " Focus" 2018 15798 "Manual" 4534 "Petrol" 145 58.9 1
"226" " Kuga" 2018 16698 "Manual" 3044 "Petrol" 145 39.2 1.5
"230" " Fiesta" 2018 12498 "Manual" 17918 "Petrol" 145 65.7 1
"231" " S-MAX" 2020 34498 "Semi-Auto" 4623 "Diesel" 145 43.5 2
"235" " Fiesta" 2018 12998 "Manual" 9901 "Petrol" 150 65.7 1
"241" " Focus" 2019 18698 "Manual" 15365 "Petrol" 145 60.1 1
"242" " Focus" 2019 16998 "Manual" 7924 "Diesel" 145 80.7 1.5
"245" " Fiesta" 2019 17498 "Manual" 3265 "Petrol" 145 58.9 1
"246" " Focus" 2019 15998 "Automatic" 11045 "Petrol" 145 41.5 1
"247" " EcoSport" 2020 17998 "Manual" 250 "Petrol" 145 51.4 1
"250" " Fiesta" 2020 17298 "Manual" 4563 "Petrol" 145 54.3 1
"251" " Fiesta" 2019 16998 "Manual" 12236 "Petrol" 145 55.4 1
"252" " Kuga" 2019 23998 "Manual" 7584 "Diesel" 145 39.2 2
"259" " EcoSport" 2018 12998 "Manual" 9796 "Petrol" 145 54.3 1
"260" " Fiesta" 2018 14498 "Manual" 9428 "Petrol" 145 62.8 1
"265" " Focus" 2018 12998 "Manual" 16081 "Petrol" 150 57.7 1
"266" " Focus" 2019 16998 "Manual" 10476 "Petrol" 145 60.1 1
"271" " EcoSport" 2019 15984 "Manual" 6500 "Petrol" 145 51.4 1
"279" " Fiesta" 2018 9998 "Manual" 7892 "Petrol" 145 65.7 1
"281" " Focus" 2019 16899 "Manual" 7000 "Diesel" 145 80.7 1.5
"282" " EcoSport" 2019 15984 "Manual" 3500 "Petrol" 145 51.4 1
"283" " EcoSport" 2019 15984 "Manual" 4500 "Petrol" 145 51.4 1
"284" " EcoSport" 2019 15984 "Manual" 4000 "Petrol" 145 51.4 1
"285" " EcoSport" 2019 13998 "Manual" 4889 "Diesel" 145 68.9 1.5
"288" " Kuga" 2018 19899 "Semi-Auto" 28500 "Diesel" 145 54.3 2
"293" " C-MAX" 2018 12998 "Manual" 7320 "Petrol" 145 55.4 1
"294" " C-MAX" 2019 13498 "Manual" 23394 "Petrol" 145 48.7 1
"296" " Focus" 2019 18998 "Automatic" 22246 "Diesel" 150 64.2 2
"297" " Fiesta" 2019 11798 "Manual" 5530 "Petrol" 150 48.7 1.1
"298" " Fiesta" 2019 11798 "Manual" 4590 "Petrol" 150 48.7 1.1
"301" " Focus" 2019 14799 "Manual" 6249 "Petrol" 145 60.1 1
"302" " Focus" 2019 14799 "Manual" 8560 "Petrol" 145 60.1 1
"303" " Mustang" 2020 42489 "Automatic" 3500 "Petrol" 145 22.1 5
"305" " Focus" 2019 16498 "Manual" 4930 "Petrol" 145 60.1 1
"306" " Focus" 2018 19698 "Manual" 12011 "Petrol" 145 41.5 2
"309" " Focus" 2019 14998 "Manual" 7000 "Petrol" 145 58.9 1
"310" " Grand Tourneo Connect" 2019 19999 "Manual" 3500 "Diesel" 145 61.4 1.5
"311" " Kuga" 2019 20999 "Automatic" 5500 "Diesel" 145 47.9 2
"312" " Focus" 2019 14998 "Manual" 7000 "Petrol" 145 60.1 1
"313" " Focus" 2019 14998 "Manual" 7000 "Petrol" 145 58.9 1
"314" " EcoSport" 2019 13998 "Manual" 5000 "Diesel" 145 68.9 1.5
"317" " Focus" 2018 19698 "Manual" 16548 "Petrol" 145 41.5 2
"323" " Mondeo" 2019 22998 "Automatic" 7337 "Hybrid" 140 47.1 2
"326" " Fiesta" 2019 11898 "Manual" 3396 "Petrol" 150 48.7 1.1
"327" " Fiesta" 2019 11498 "Manual" 15766 "Petrol" 145 58.9 1
"328" " Fiesta" 2019 13298 "Manual" 7349 "Petrol" 145 58.9 1
"330" " EcoSport" 2018 10498 "Manual" 59498 "Diesel" 145 68.9 1.5
"333" " Focus" 2019 16998 "Manual" 20647 "Petrol" 145 60.1 1
"334" " Fiesta" 2019 13498 "Manual" 13351 "Petrol" 145 58.9 1
"337" " Fiesta" 2018 9949 "Manual" 27399 "Petrol" 145 64.2 1.1
"338" " C-MAX" 2018 12998 "Manual" 2455 "Diesel" 145 68.9 1.5
"340" " Mustang" 2020 38489 "Automatic" 3500 "Petrol" 145 30.7 2.3
"341" " Fiesta" 2018 9489 "Manual" 35417 "Petrol" 145 64.2 1.1
"342" " Fiesta" 2019 13949 "Semi-Auto" 11982 "Petrol" 145 48.7 1
"343" " Fiesta" 2018 10990 "Manual" 28138 "Petrol" 145 56.5 1
"346" " Fiesta" 2018 11489 "Manual" 19665 "Petrol" 145 60.1 1
"347" " Kuga" 2018 15699 "Manual" 17500 "Diesel" 150 64.2 1.5
"348" " Focus" 2020 19998 "Manual" 4000 "Diesel" 145 74.3 1.5
"349" " Focus" 2020 19489 "Manual" 5000 "Diesel" 145 74.3 1.5
"350" " Focus" 2019 14998 "Manual" 7000 "Petrol" 145 58.9 1
"353" " EcoSport" 2018 11489 "Manual" 2922 "Diesel" 145 64.2 1.5
"354" " Mustang" 2018 29998 "Automatic" 3000 "Petrol" 145 28.8 2.3
"355" " Mustang" 2018 31498 "Automatic" 6250 "Petrol" 145 23.5 5
"356" " Focus" 2018 11999 "Manual" 6691 "Petrol" 145 61.4 1
"357" " Grand Tourneo Connect" 2018 15990 "Automatic" 9486 "Diesel" 145 56.6 1.5
"358" " Focus" 2019 16998 "Automatic" 8703 "Petrol" 145 40.9 1.5
"359" " EcoSport" 2019 15489 "Manual" 5636 "Diesel" 145 68.9 1.5
"360" " S-MAX" 2019 22489 "Manual" 8224 "Diesel" 145 56.5 2
"361" " S-MAX" 2019 22489 "Manual" 4000 "Diesel" 145 56.5 2
"367" " Edge" 2018 19498 "Manual" 22068 "Diesel" 145 48.7 2
"368" " Focus" 2019 16998 "Manual" 19936 "Petrol" 145 60.1 1
"373" " Kuga" 2018 14998 "Manual" 14960 "Diesel" 145 64.2 1.5
"376" " Fiesta" 2018 10399 "Manual" 7200 "Petrol" 145 65.7 1
"379" " EcoSport" 2019 15985 "Manual" 5099 "Petrol" 145 51.4 1
"381" " Kuga" 2019 21999 "Automatic" 6000 "Petrol" 145 29.1 1.5
"383" " Kuga" 2019 23250 "Semi-Auto" 9931 "Diesel" 145 38.7 2
"385" " Ka+" 2018 7999 "Manual" 9355 "Petrol" 145 57.7 1.2
"388" " Mustang" 2019 39998 "Automatic" 5000 "Petrol" 145 22.6 5
"391" " Focus" 2019 15995 "Manual" 6992 "Petrol" 145 60.1 1
"393" " Fiesta" 2019 14698 "Manual" 8725 "Petrol" 145 58.9 1
"400" " Focus" 2019 14198 "Manual" 20205 "Petrol" 150 58.9 1
"402" " Fiesta" 2019 17298 "Semi-Auto" 1434 "Petrol" 150 48.7 1
"407" " Focus" 2018 17298 "Manual" 3124 "Petrol" 145 60.1 1
"411" " Kuga" 2019 22998 "Manual" 593 "Diesel" 145 47.9 2
"412" " Focus" 2018 11598 "Manual" 11654 "Petrol" 145 61.4 1
"413" " Fiesta" 2018 10498 "Manual" 17532 "Petrol" 145 65.7 1
"416" " EcoSport" 2018 12499 "Manual" 13000 "Diesel" 145 67.3 1.5
"417" " Ka+" 2018 9250 "Manual" 7812 "Petrol" 145 47.9 1.2
"421" " Kuga" 2019 18494 "Manual" 11858 "Diesel" 145 38.2 2
"422" " Fiesta" 2019 13489 "Semi-Auto" 26799 "Petrol" 145 48.7 1
"424" " Fiesta" 2018 11995 "Manual" 12080 "Petrol" 150 65.7 1
"427" " Fiesta" 2018 11800 "Manual" 14024 "Petrol" 145 62.8 1
"430" " Focus" 2018 18499 "Manual" 14682 "Petrol" 145 41.5 2
"432" " Kuga" 2018 17000 "Manual" 15513 "Petrol" 145 45.6 1.5
"438" " Kuga" 2019 19298 "Manual" 12287 "Petrol" 145 39.2 1.5
"440" " Focus" 2019 15998 "Manual" 12699 "Petrol" 145 60.1 1
"444" " Fiesta" 2019 13998 "Manual" 5887 "Petrol" 145 58.9 1
"451" " Focus" 2018 18390 "Manual" 14682 "Petrol" 145 41.5 2
"452" " Ka+" 2018 7795 "Manual" 9662 "Petrol" 145 57.7 1.2
"454" " Focus" 2019 18298 "Automatic" 6269 "Diesel" 145 74.3 1.5
"458" " C-MAX" 2018 12698 "Manual" 3074 "Petrol" 145 55.4 1
"464" " Focus" 2019 14000 "Manual" 11426 "Petrol" 150 58.9 1
"465" " EcoSport" 2019 16250 "Manual" 2951 "Petrol" 150 52.3 1
"471" " Kuga" 2019 18999 "Manual" 9695 "Diesel" 145 54.3 1.5
"477" " Focus" 2018 18498 "Manual" 21167 "Diesel" 145 67.3 2
"484" " C-MAX" 2018 11998 "Manual" 6484 "Diesel" 145 68.9 1.5
"490" " Fiesta" 2018 10300 "Manual" 9542 "Petrol" 145 65.7 1
"491" " C-MAX" 2019 13000 "Manual" 3629 "Petrol" 145 49.6 1
"494" " S-MAX" 2019 24995 "Manual" 10023 "Diesel" 150 54.3 2
"497" " Focus" 2019 16698 "Manual" 18697 "Petrol" 145 60.1 1
"498" " Focus" 2019 23698 "Manual" 5003 "Diesel" 145 70.6 2
"499" " Focus" 2019 20398 "Manual" 6233 "Diesel" 145 74.3 1.5
"501" " Kuga" 2018 17998 "Manual" 13734 "Petrol" 145 39.2 1.5
"502" " Fiesta" 2019 13698 "Manual" 12232 "Petrol" 145 58.9 1
"507" " Fiesta" 2018 12998 "Manual" 23200 "Petrol" 150 65.7 1
"509" " Tourneo Custom" 2019 20990 "Manual" 5100 "Diesel" 145 31.7 2
"510" " Tourneo Custom" 2019 29999 "Manual" 100 "Diesel" 145 30.1 2
"511" " EcoSport" 2019 15489 "Manual" 5636 "Diesel" 145 68.9 1.5
"512" " Focus" 2019 15998 "Manual" 4500 "Diesel" 145 80.7 1.5
"513" " Grand Tourneo Connect" 2019 19999 "Manual" 3500 "Diesel" 145 61.4 1.5
"515" " Fiesta" 2018 9490 "Manual" 3012 "Petrol" 145 55.4 1.1
"520" " Focus" 2018 18998 "Manual" 11578 "Diesel" 150 67.3 2
"525" " Focus" 2019 16250 "Manual" 13325 "Diesel" 145 74.3 1.5
"526" " Focus" 2019 18450 "Automatic" 14464 "Diesel" 145 54.3 1.5
"527" " Focus" 2018 9950 "Manual" 19223 "Petrol" 145 61.4 1
"528" " Ka+" 2019 9950 "Manual" 906 "Petrol" 145 43.5 1.2
"529" " Ka+" 2019 9950 "Manual" 2520 "Petrol" 145 43.5 1.2
"530" " Ka+" 2019 9950 "Manual" 1196 "Petrol" 145 43.5 1.2
"535" " Focus" 2019 16998 "Manual" 14206 "Petrol" 150 60.1 1
"538" " Focus" 2019 14498 "Manual" 14316 "Diesel" 150 80.7 1.5
"541" " Focus" 2019 17998 "Manual" 12027 "Diesel" 145 74.3 1.5
"543" " Kuga" 2019 19998 "Automatic" 8757 "Petrol" 145 28.8 1.5
"546" " EcoSport" 2018 13698 "Manual" 4223 "Petrol" 145 54.3 1
"547" " Fiesta" 2019 13498 "Manual" 9007 "Petrol" 145 58.9 1
"550" " Fiesta" 2019 11698 "Manual" 3578 "Petrol" 150 48.7 1.1
"553" " Focus" 2018 13998 "Manual" 10149 "Petrol" 145 57.7 1
"555" " Fiesta" 2018 11950 "Manual" 16678 "Petrol" 145 58.9 1
"556" " Fiesta" 2019 11395 "Manual" 1394 "Petrol" 145 55.4 1.1
"557" " Grand Tourneo Connect" 2018 15990 "Automatic" 9486 "Diesel" 145 56.6 1.5
"558" " Fiesta" 2018 10990 "Manual" 28138 "Petrol" 145 56.5 1
"559" " Kuga" 2019 18489 "Manual" 10351 "Diesel" 145 54.3 1.5
"563" " Kuga" 2019 18495 "Manual" 7959 "Diesel" 145 38.2 2
"564" " Focus" 2018 11995 "Manual" 10553 "Diesel" 145 74.3 1.5
"565" " Fiesta" 2018 9998 "Manual" 23112 "Petrol" 145 65.7 1
"566" " Fiesta" 2019 14998 "Manual" 7953 "Petrol" 145 60.1 1
"570" " Fiesta" 2019 12498 "Manual" 7941 "Petrol" 145 58.9 1
"578" " Focus" 2019 15998 "Manual" 10386 "Petrol" 145 49.6 1
"581" " Fiesta" 2019 10698 "Manual" 10786 "Petrol" 145 55.4 1.1
"582" " Kuga" 2020 20450 "Manual" 1196 "Diesel" 150 38.2 2
"585" " Kuga" 2019 18495 "Manual" 11859 "Diesel" 145 54.3 1.5
"586" " Grand C-MAX" 2019 14950 "Manual" 9693 "Diesel" 145 57.7 1.5
"587" " Kuga" 2018 17295 "Manual" 11723 "Diesel" 145 64.2 1.5
"588" " Focus" 2019 16250 "Manual" 11027 "Diesel" 145 74.3 1.5
"596" " Tourneo Connect" 2019 19998 "Manual" 4605 "Diesel" 145 61.4 1.5
"597" " Focus" 2019 14998 "Manual" 12078 "Petrol" 145 58.9 1
"604" " Fiesta" 2019 13698 "Manual" 11060 "Petrol" 145 58.9 1
"613" " Fiesta" 2019 14998 "Manual" 8263 "Petrol" 145 60.1 1
"617" " Focus" 2018 13498 "Manual" 10150 "Petrol" 145 58.9 1
"624" " Fiesta" 2019 10998 "Manual" 12320 "Petrol" 145 58.9 1
"625" " EcoSport" 2018 12998 "Manual" 3956 "Petrol" 145 53.3 1
"627" " Kuga" 2018 15998 "Manual" 10087 "Diesel" 145 64.2 1.5
"634" " Fiesta" 2019 11698 "Manual" 3484 "Petrol" 150 48.7 1.1
"635" " Focus" 2019 19300 "Manual" 2958 "Diesel" 145 70.6 2
"638" " Focus" 2019 15390 "Manual" 5341 "Petrol" 145 60.1 1
"639" " Focus" 2019 15370 "Manual" 6736 "Petrol" 145 60.1 1
"643" " EcoSport" 2018 12891 "Manual" 16156 "Petrol" 145 54.3 1
"656" " Kuga" 2018 16998 "Manual" 13737 "Diesel" 145 64.2 1.5
"658" " Focus" 2018 18998 "Manual" 16312 "Diesel" 145 67.3 2
"659" " Fiesta" 2019 13898 "Manual" 14698 "Petrol" 145 58.9 1
"660" " Fiesta" 2019 13498 "Manual" 20388 "Petrol" 145 58.9 1
"664" " Fiesta" 2019 14998 "Manual" 8389 "Petrol" 145 60.1 1
"665" " Focus" 2019 17498 "Automatic" 11022 "Petrol" 145 51.4 1
"666" " Focus" 2019 17498 "Manual" 7359 "Diesel" 145 74.3 1.5
"667" " Focus" 2019 16998 "Manual" 8657 "Diesel" 145 74.3 1.5
"669" " Fiesta" 2018 15698 "Automatic" 921 "Petrol" 145 49.6 1
"675" " Fiesta" 2019 11998 "Manual" 10970 "Petrol" 145 58.9 1
"688" " Fiesta" 2019 11798 "Manual" 13783 "Petrol" 145 58.9 1
"689" " Fiesta" 2019 11698 "Manual" 18115 "Petrol" 145 58.9 1
"695" " Focus" 2019 19798 "Automatic" 4797 "Diesel" 145 64.2 2
"696" " Focus" 2019 19998 "Automatic" 2451 "Diesel" 145 64.2 2
"698" " Focus" 2019 19998 "Automatic" 6879 "Diesel" 145 51.4 2
"700" " Focus" 2019 18298 "Automatic" 2840 "Diesel" 145 74.3 1.5
"701" " Fiesta" 2018 10998 "Manual" 10970 "Petrol" 145 58.9 1
"704" " Fiesta" 2019 14998 "Manual" 3002 "Petrol" 145 60.1 1
"705" " Focus" 2018 20998 "Manual" 5757 "Petrol" 145 41.5 2
"707" " Fiesta" 2019 14998 "Manual" 5721 "Petrol" 145 60.1 1
"709" " Kuga" 2018 15998 "Manual" 11460 "Diesel" 145 54.3 1.5
"713" " Fiesta" 2018 10998 "Manual" 16353 "Petrol" 145 65.7 1
"714" " Focus" 2019 18998 "Automatic" 11738 "Diesel" 145 64.2 2
"719" " Focus" 2019 16998 "Manual" 6092 "Petrol" 145 49.6 1
"721" " Focus" 2018 19498 "Manual" 19382 "Petrol" 145 41.5 2
"724" " Fiesta" 2019 11498 "Manual" 6158 "Petrol" 150 48.7 1.1
"726" " Focus" 2019 16998 "Manual" 19322 "Petrol" 150 60.1 1
"742" " Mustang" 2018 29998 "Manual" 20847 "Petrol" 145 20.9 5
"744" " Focus" 2019 16498 "Manual" 2936 "Petrol" 145 60.1 1
"747" " Grand Tourneo Connect" 2018 16298 "Automatic" 10703 "Diesel" 145 56.6 1.5
"751" " Fiesta" 2018 11998 "Manual" 10320 "Petrol" 145 56.5 1
"752" " Focus" 2018 15498 "Manual" 14579 "Petrol" 145 60.1 1
"754" " Fiesta" 2018 10698 "Manual" 7541 "Petrol" 145 55.4 1.1
"756" " Fiesta" 2019 14698 "Manual" 10032 "Petrol" 145 58.9 1
"757" " Fiesta" 2019 14698 "Manual" 8438 "Petrol" 145 58.9 1
"758" " Focus" 2018 11498 "Manual" 27277 "Diesel" 145 74.3 1.5
"760" " Fiesta" 2019 13998 "Manual" 6432 "Petrol" 145 58.9 1
"764" " Kuga" 2019 19498 "Manual" 9420 "Petrol" 145 39.2 1.5
"766" " Fiesta" 2019 15450 "Manual" 5731 "Petrol" 145 60.1 1
"769" " Ka+" 2018 7542 "Manual" 9880 "Petrol" 145 57.7 1.2
"774" " Focus" 2018 11498 "Manual" 25464 "Petrol" 145 60.1 1
"775" " Focus" 2019 16498 "Manual" 13699 "Diesel" 145 74.3 1.5
"776" " Focus" 2019 14798 "Manual" 12558 "Petrol" 145 58.9 1
"777" " Fiesta" 2019 13798 "Manual" 9847 "Petrol" 145 58.9 1
"780" " Focus" 2019 15998 "Automatic" 9694 "Diesel" 145 64.2 2
"781" " Fiesta" 2019 14998 "Manual" 7995 "Petrol" 145 60.1 1
"786" " Fiesta" 2018 12998 "Semi-Auto" 9917 "Petrol" 145 54.3 1
"787" " Fiesta" 2018 10998 "Manual" 16658 "Petrol" 145 65.7 1
"789" " Focus" 2018 13498 "Semi-Auto" 12619 "Petrol" 145 51.4 1
"790" " Fiesta" 2018 12998 "Manual" 17096 "Petrol" 145 58.9 1
"791" " Fiesta" 2019 10298 "Manual" 23309 "Petrol" 145 55.4 1.1
"792" " Fiesta" 2019 12698 "Manual" 7942 "Petrol" 145 56.5 1
"795" " Fiesta" 2019 11698 "Manual" 14337 "Petrol" 145 58.9 1
"796" " Fiesta" 2019 13998 "Manual" 17218 "Petrol" 145 58.9 1
"798" " Fiesta" 2019 11998 "Manual" 9501 "Petrol" 145 58.9 1
"799" " Fiesta" 2019 13498 "Manual" 10248 "Petrol" 145 58.9 1
"804" " Focus" 2019 18998 "Automatic" 2411 "Petrol" 150 42.8 1
"807" " Focus" 2019 17498 "Manual" 11184 "Petrol" 145 60.1 1
"810" " Focus" 2018 20498 "Manual" 10249 "Petrol" 145 41.5 2
"812" " Fiesta" 2019 13898 "Manual" 7845 "Petrol" 145 58.9 1
"815" " Focus" 2018 13998 "Manual" 9328 "Petrol" 145 58.9 1
"819" " Focus" 2019 25498 "Manual" 4813 "Petrol" 145 34.5 2.3
"820" " Fiesta" 2019 11998 "Manual" 14358 "Petrol" 145 58.9 1
"821" " Fiesta" 2019 13998 "Manual" 7512 "Petrol" 145 58.9 1
"824" " Fiesta" 2019 11798 "Manual" 12286 "Petrol" 145 58.9 1
"825" " Fiesta" 2019 11798 "Manual" 14068 "Petrol" 145 58.9 1
"826" " Fiesta" 2018 10698 "Manual" 14523 "Petrol" 145 65.7 1
"831" " Fiesta" 2018 9998 "Manual" 8608 "Petrol" 145 55.4 1.1
"835" " Fiesta" 2018 10998 "Manual" 22410 "Petrol" 145 56.5 1
"838" " Fiesta" 2018 10998 "Manual" 21955 "Petrol" 145 56.5 1
"839" " Fiesta" 2019 14998 "Manual" 8783 "Petrol" 145 55.4 1
"846" " Kuga" 2019 18995 "Semi-Auto" 4274 "Diesel" 145 37.2 2
"850" " Fiesta" 2019 11498 "Manual" 14132 "Petrol" 145 58.9 1
"856" " EcoSport" 2018 11795 "Manual" 32356 "Diesel" 145 64.2 1.5
"873" " Fiesta" 2018 9698 "Manual" 11783 "Petrol" 150 64.2 1.1
"874" " Focus" 2018 14000 "Manual" 12090 "Petrol" 145 58.9 1
"875" " EcoSport" 2018 13998 "Manual" 18980 "Petrol" 145 52.3 1
"876" " Fiesta" 2018 11250 "Manual" 15634 "Petrol" 145 60.1 1
"881" " Focus" 2018 12993 "Manual" 19135 "Petrol" 145 57.7 1
"884" " Kuga" 2019 20998 "Manual" 100 "Petrol" 150 35.3 1.5
"888" " Kuga" 2019 18300 "Manual" 12587 "Petrol" 145 35.3 1.5
